stock,type,strike,exp,contractsymbol,lastprice,change,pct_chg,volume,openinterest,vol_chg,oi_chg,voi
$BITO,游릭C,$13.0,06/21/24,BITO240621C00013000,12.25,0.0,0.0,14910,2,0.0,0.0,7455
$DIA,游댮P,$398.0,05/24/24,DIA240524P00398000,4.7,-1.3700004,-22.57,1819,1,1818.0,1.0,1819
$INTC,游댮P,$49.0,08/16/24,INTC240816P00049000,18.66,0.0,0.0,1060,1,0.0,0.0,1060
$KRE,游댮P,$52.0,05/24/24,KRE240524P00052000,1.91,-0.17999995,-8.61,2002,2,2001.0,1.0,1001
$C,游릭C,$37.5,06/21/24,C240621C00037500,24.15,0.0,0.0,9281,14,0.0,0.0,662
$SPY,游릭C,$535.0,10/31/24,SPY241031C00535000,15.96,0.19999981,1.27,3167,7,3164.0,3.0,452
$IBM,游릭C,$135.0,06/21/24,IBM240621C00135000,35.08,0.0,0.0,34063,77,0.0,0.0,442
$IEF,游댮P,$95.0,05/17/24,IEF240517P00095000,3.16,0.0,0.0,9410,26,0.0,0.0,361
$XLU,游릭C,$82.0,01/17/25,XLU250117C00082000,0.85,0.61,254.17,5307,15,5306.0,0.0,353
$QQQ,游댮P,$449.0,05/14/24,QQQ240514P00449000,6.85,-1.1500001,-10.81,1292,4,1290.0,4.0,323
$UBER,游댮P,$82.5,06/21/24,UBER240621P00082500,17.3,0.0,0.0,3460,11,0.0,-1.0,314
$DASH,游댮P,$130.0,05/17/24,DASH240517P00130000,17.15,0.0,0.0,8478,43,0.0,0.0,197
$SNOW,游댮P,$210.0,05/17/24,SNOW240517P00210000,54.3,0.0,0.0,2608,17,0.0,0.0,153
$XOM,游릭C,$124.0,06/14/24,XOM240614C00124000,0.5,0.00999999,2.04,2274,20,2271.0,0.0,113
$XLY,游릭C,$156.0,06/21/24,XLY240621C00156000,28.88,0.0,0.0,1600,15,0.0,0.0,106
$JETS,游댮P,$19.0,12/20/24,JETS241220P00019000,0.98,-0.00999999,-1.01,1001,11,998.0,0.0,91
$XRT,游댮P,$72.0,05/24/24,XRT240524P00072000,0.41,-0.050000012,-10.87,2535,41,2533.0,0.0,61
$CLSK,游댮P,$14.5,06/07/24,CLSK240607P00014500,1.0,-0.029999971,0.0,1144,42,1140.0,14.0,27
$MARA,游댮P,$17.5,05/31/24,MARA240531P00017500,1.31,0.3399999,39.36,4221,168,4189.0,7.0,25
$TAN,游릭C,$46.0,06/21/24,TAN240621C00046000,1.2,0.28000003,30.43,1005,49,1002.0,3.0,20
$IWM,游댮P,$204.0,05/14/24,IWM240514P00204000,1.19,0.59000003,58.67,11613,597,11337.0,240.0,19
$RTX,游댮P,$103.0,05/31/24,RTX240531P00103000,0.44,-0.19999999,-31.25,1002,60,942.0,41.0,16
$SMCI,游댮P,$805.0,05/10/24,SMCI240510P00805000,6.7,-6.7,-49.24,2748,261,1623.0,-84.0,10
